id,name,sex,ioc,age,ht,hand,rank,df_mean,1stIn_mean,2ndWon_mean,SvGms_mean,bpSaved_mean,bpFaced_mean,tot_games,winrate,ace_on_service(%),df_on_service(%),point_on_first_service(%),Hard_win(%),Clay_win(%),Grass_win(%),Carpet_win(%),Hard_los(%),Clay_los(%),Grass_los(%),Carpet_los(%),Best_Surface,Worste_Surface,tie_break_rate(%)
206183,Cindy Burger,Female,NED,27,177,R,403,3,42,11,10,3,7,205.0,55.12,2.37,4.5,63.84,2.44,52.2,0.49,0.0,7.8,36.1,0.98,0.0,Clay,Clay,12.68
214583,Arisha Ladhani,Female,CAN,23,177,U,1085,3,43,10,10,3,8,3.0,33.33,1.9,4.27,61.24,0.0,33.33,0.0,0.0,0.0,66.67,0.0,0.0,Clay,Clay,33.33
216069,Justine Pysson,Female,BEL,19,177,R,1182,3,43,10,10,3,7,22.0,45.45,2.08,4.28,62.37,13.64,31.82,0.0,0.0,4.55,50.0,0.0,0.0,Clay,Clay,18.18
211382,Caroline Romeo,Female,FRA,25,177,U,696,3,43,11,10,3,7,154.0,54.55,2.21,4.29,63.21,37.01,17.53,0.0,0.0,25.97,18.83,0.65,0.0,Hard,Hard,9.74
216044,Yuki Naito,Female,JPN,18,177,R,177,3,42,11,10,3,7,97.0,61.86,2.46,4.36,63.64,13.4,41.24,0.0,7.22,13.4,20.62,0.0,4.12,Clay,Clay,15.46
203354,Martina Trevisan,Female,ITA,26,177,L,152,3,44,11,10,3,8,240.0,55.42,1.78,4.61,61.54,8.75,46.25,0.42,0.0,13.75,28.33,2.5,0.0,Clay,Clay,10.0
201615,Lesia Tsurenko,Female,UKR,30,174,R,129,3,42,9,10,4,7,220.0,54.55,2.03,5.81,61.92,40.45,7.73,6.36,0.0,28.18,11.36,5.91,0.0,Hard,Hard,10.0
215820,Yidi Yang,Female,CHN,20,177,U,461,3,43,10,10,3,7,56.0,39.29,1.99,4.39,61.23,28.57,10.71,0.0,0.0,48.21,10.71,0.0,1.79,Hard,Hard,5.36
201593,Irina Camelia Begu,Female,ROU,29,181,R,97,4,45,11,10,4,8,259.0,52.51,3.21,5.86,62.45,25.48,23.94,3.09,0.0,27.8,15.83,3.86,0.0,Hard,Hard,12.74
201659,Melanie Klaffner,Female,AUT,29,177,R,521,2,42,11,10,3,7,146.0,51.37,2.17,4.28,62.76,22.6,28.08,0.68,0.0,19.86,28.08,0.68,0.0,Clay,Clay,8.9
211562,Vladica Babic,Female,MNE,24,177,U,545,3,43,10,10,3,7,37.0,48.65,2.12,4.28,62.66,48.65,0.0,0.0,0.0,48.65,2.7,0.0,0.0,Hard,Hard,8.11
213948,Dabin Kim,Female,KOR,23,177,R,340,3,42,10,9,3,7,117.0,43.59,2.04,4.34,62.0,38.46,5.13,0.0,0.0,50.43,5.98,0.0,0.0,Hard,Hard,11.11
202502,So Ra Lee,Female,KOR,25,177,L,869,3,42,11,9,3,7,97.0,46.39,2.07,4.31,62.24,38.14,8.25,0.0,0.0,49.48,4.12,0.0,0.0,Hard,Hard,4.12
215970,Stefania Rogozinska Dzik,Female,POL,18,177,U,791,3,43,10,10,3,8,12.0,16.67,1.65,4.25,59.69,8.33,8.33,0.0,0.0,58.33,16.67,0.0,8.33,Hard,Hard,0.0
206002,Tamara Bizhukova,Female,RUS,25,177,R,1225,3,43,10,10,3,8,19.0,15.79,1.64,4.24,59.61,15.79,0.0,0.0,0.0,57.89,26.32,0.0,0.0,Hard,Hard,5.26
204301,Barbara Bonic,Female,SRB,28,177,R,1147,3,43,10,10,3,7,75.0,38.67,1.97,4.27,61.74,33.33,5.33,0.0,0.0,40.0,21.33,0.0,0.0,Hard,Hard,5.33
221988,Bianca Jolie Fernandez,Female,CAN,16,177,R,1151,3,43,10,10,3,8,18.0,33.33,1.9,4.27,61.24,5.56,22.22,0.0,5.56,50.0,11.11,0.0,5.56,Clay,Hard,5.56
220438,Viktoriya Kanapatskaya,Female,BLR,17,177,U,723,3,43,11,10,3,7,20.0,65.0,2.37,4.3,64.19,45.0,20.0,0.0,0.0,25.0,10.0,0.0,0.0,Hard,Hard,5.0
221994,Demi Tran,Female,NED,19,177,R,1317,3,43,10,10,3,7,23.0,34.78,1.92,4.27,61.38,13.04,21.74,0.0,0.0,21.74,43.48,0.0,0.0,Clay,Clay,4.35
221333,Solana Sierra,Female,ARG,16,177,U,1152,3,43,10,10,3,7,7.0,42.86,2.04,4.28,62.13,28.57,14.29,0.0,0.0,42.86,14.29,0.0,0.0,Hard,Hard,0.0
213599,Jelena Stojanovic,Female,AUS,23,177,R,1318,3,43,10,10,3,8,81.0,25.93,1.79,4.26,60.55,13.58,12.35,0.0,0.0,45.68,28.4,0.0,0.0,Hard,Hard,3.7
205873,Anna Morgina,Female,RUS,29,177,R,504,3,42,11,10,3,7,215.0,50.23,2.11,4.45,62.6,37.21,13.02,0.0,0.0,30.7,19.07,0.0,0.0,Hard,Hard,10.23
216252,Giulia Morlet,Female,FRA,18,177,L,1201,3,43,10,10,3,8,11.0,27.27,1.81,4.26,60.68,27.27,0.0,0.0,0.0,54.55,18.18,0.0,0.0,Hard,Hard,0.0
213576,Iryna Shymanovich,Female,BLR,23,177,R,419,3,43,11,10,3,6,110.0,72.73,2.48,4.31,64.9,40.91,31.82,0.0,0.0,16.36,10.91,0.0,0.0,Hard,Hard,11.82
220446,Jazmin Ortenzi,Female,ARG,18,177,U,694,3,43,10,10,3,7,51.0,49.02,2.13,4.28,62.7,11.76,37.25,0.0,0.0,15.69,35.29,0.0,0.0,Clay,Clay,9.8
